,名前,挿入→画像→画像をセル内に挿入,Created day,作者（敬称略）,コメント,モデル,ID,リンク,パフォーマンス（PC,Android,IOS,,,,,,
18,筋肉紋甲烏賊男,,Mar 20 2024,AoNeco 青猫,貧弱な肉体だった私、モンゴウイカマンは「腕立て伏せ100回、上体起こし100回、スクワット100回、そしてランニング10km、これを毎日やる」ことによって筋肉紋甲烏賊男に生まれ変わったのです,モンゴウイカ,avtr_f5e20998-5418-4128-943f-d6a3ae4bc138,https://vrchat.com/home/avatar/avtr_f5e20998-5418-4128-943f-d6a3ae4bc138,Medium,Very Poor,,,,,,,
19,coelacanth lady 怪盗シーラカンスレディ,,Nov 05 2024,AoNeco 青猫,レオタードの女ボディのシーラカンスのフィッシュヘッドです。昭和の人気アニメではないですよ。あれは魚の頭してません,シーラカンス,avtr_78d1ce9b-d23a-41c9-ac97-0dd743d548c6,https://vrchat.com/home/avatar/avtr_78d1ce9b-d23a-41c9-ac97-0dd743d548c6,Good,Poor,,,,,,,
20,Ammo-Knite あんもナイト,,Nov 05 2024,AoNeco 青猫,アンモナイトの騎士のフィッシュヘッドなのです。刀を出せますが自由には動かせませんので戦いにはなんの役にも立たないのです,アンモナイト,avtr_49b6ca59-c888-4494-bc76-d7e6bb1085f6,https://vrchat.com/home/avatar/avtr_49b6ca59-c888-4494-bc76-d7e6bb1085f6,Good,Poor,,,,,,,
21,ヤツメウナギマン,,Nov 23 2023,AoNeco 青猫,火の７日間を戦いしヤツメウナギマン。口からビームですべてを薙ぎ払う。（ごめんなさい、口からビームはPCのみです。Questでは使えません）,ヤツメウナギ,avtr_f71b77ec-d280-4313-ae30-a20ea9a7d7df,https://vrchat.com/home/avatar/avtr_f71b77ec-d280-4313-ae30-a20ea9a7d7df,Medium,Medium,,,,,,,
22,筋肉鰹男,,Sep 20 2024,AoNeco 青猫,私カツオマンは毎日のハードなトレーニングと大量のプロティンを摂取してムキムキボディを手に入れ筋肉鰹男になったのです（このアバターはジョニー・ニコライ（zhoney nicolay）さんのカツオマンの改変アバターです）,カツオ,avtr_85167826-6146-45f8-8156-dec55419091d,https://vrchat.com/home/avatar/avtr_85167826-6146-45f8-8156-dec55419091d,Good,Poor,Sep 18 2024,甘水あみ,,,,,
23,恵比寿鯛マン,,Sep 30 2023,AoNeco 青猫,おめでたい恵比寿鯛マンで御座います。鯛が恵比寿を釣りまする。エビスダイ、ヨロイダイとも呼ばれまする。,鯛,avtr_a46deeb5-32d3-4888-bb2c-99edc89e217e,https://vrchat.com/home/avatar/avtr_a46deeb5-32d3-4888-bb2c-99edc89e217e,Very Poor,Poor,,,,,,,
24,FISHHEAD（Betta splendens）,,Dec 01 2023,Chitose（ちとせ）,请叫我暹罗斗鱼大姐,ベタ,avtr_e879653d-9042-4172-9869-015ca66b1af6,https://vrchat.com/home/avatar/avtr_e879653d-9042-4172-9869-015ca66b1af6,Poor,,,,,,,,
25,平成初期のフィッシュヘッド,,05/02/2025,dekadan,フナ,平成元年大芋煮会 響け毒芋 腐れ胃袋 捻れ啼泣,avtr_b2f6d421-51f8-4ba7-b598-85a343dac02d,https://vrchat.com/home/avatar/avtr_b2f6d421-51f8-4ba7-b598-85a343dac02d,Good,,,,,,,,
26,count kun,,07/05/2025,dekadan,count kun ha kenshou enn,手,avtr_c6d0a797-ecec-4d9f-ad59-4b6e2cfc9727,https://vrchat.com/home/avatar/avtr_c6d0a797-ecec-4d9f-ad59-4b6e2cfc9727,Medium,Very Poor,,,,,,,
27,count kun,,07/05/2025,dekadan,手,count kun ha kenshou enn,avtr_c6d0a797-ecec-4d9f-ad59-4b6e2cfc9727,https://vrchat.com/home/avatar/avtr_c6d0a797-ecec-4d9f-ad59-4b6e2cfc9727,Medium,Very Poor,,,,,,,
28,マンボーマン（真実）,,	09/28/2025,dekadan,マンボウ,化学繊維のシャツでは寝にくいのです。 誰を怨めばいいのでございましょうか。,avtr_78367926-1ce7-4f61-b921-f17483c91490,https://vrchat.com/home/avatar/avtr_78367926-1ce7-4f61-b921-f17483c91490,Good,Poor,,,,,,,
29,象形さん,,Dec 05 2024,dekadan,会意に憧憬する象形の怪異,文字,avtr_9a8e8231-9cfc-431a-a1fd-0f620399bcf0,https://vrchat.com/home/avatar/avtr_9a8e8231-9cfc-431a-a1fd-0f620399bcf0,Medium,Very Poor,,,,,,,
30,さだはる（フナ）,,Dec 10 2023,dekadan,昨年二月に行方不明になったフナの首、さだはる。このアバターは、電子の海を泳ぐ彼の墓標であり、英雄的偉業を称える碑である。 実際の遺影 https˸⁄⁄x․com⁄hhSRyYXvIZw0bPj⁄status⁄1733544176569233460?s＝20,フナ,avtr_3588fd49-785e-4593-92a9-1404ab11823b,https://vrchat.com/home/avatar/avtr_3588fd49-785e-4593-92a9-1404ab11823b,Very Poor,,,,,,,,
31,さだはる２,,Dec 20 2024,dekadan,,フナ,avtr_d84575ce-40d8-4cfa-9049-cb6c03e5f197,https://vrchat.com/home/avatar/avtr_d84575ce-40d8-4cfa-9049-cb6c03e5f197,Very Poor,,,,,,,,
32,スケートマンボーマン,,Feb 02 2025,dekadan,,,avtr_6e46646b-fa1a-4651-b4b3-5a99e4a65ada,https://vrchat.com/home/avatar/avtr_6e46646b-fa1a-4651-b4b3-5a99e4a65ada,Medium,,,,,,,,
33,走るマンボー,,Jan 31 2025,dekadan,同一平面上に存在するチームメイトを実際に見たことがない。チーム競技身をやつす。しかしどこまでも孤独。客観の中でのみ三次元となる。,マンボウ,avtr_faec8dbc-a1db-43bd-bc30-f047f8375ff0,https://vrchat.com/home/avatar/avtr_faec8dbc-a1db-43bd-bc30-f047f8375ff0,Medium,,,,,,,,
34,マンボーブラザーズ,,Nov 10 2024,dekadan,天涯孤独のマンボーマン。血のつながりに飢える。,マンボウ,avtr_8a7995bf-3e1e-4e14-9479-78f013aa1f02,https://vrchat.com/home/avatar/avtr_8a7995bf-3e1e-4e14-9479-78f013aa1f02,Poor,,,,,,,,
35,出航,,Nov 13 2024,dekadan,,イカダ,avtr_922aaedc-d5c6-408f-a94d-435abfc76ae3,https://vrchat.com/home/avatar/avtr_922aaedc-d5c6-408f-a94d-435abfc76ae3,Very Poor,,,,,,,,
36,マンボマたおいおうｲ衣装ﾌﾟﾚﾋﾞｭｰアバタ,,04/11/2025,Fuganbya,マンボウ,シャネル,avtr_8c34657d-6a55-42f5-b2c4-202620a2e80d,https://vrchat.com/home/avatar/avtr_8c34657d-6a55-42f5-b2c4-202620a2e80d,Excellent,,,,,,,,
37,マンボマたおいおうｲ衣装ﾌﾟﾚﾋﾞｭｰアバタ,,04/11/2025,Fuganbya,まめ,グッチ,avtr_fdddfb26-b923-4ca8-bd3f-d139db1eb693,https://vrchat.com/home/avatar/avtr_fdddfb26-b923-4ca8-bd3f-d139db1eb693,Excellent,,,,,,,,
38,Fketto chaaannn with fket booth,,Apr 11 2024,Fuganbya,mushroom growing system is not work for Quest,Fket,avtr_c973e5c9-9348-4b44-8ed8-d4915bca27ef,https://vrchat.com/home/avatar/avtr_c973e5c9-9348-4b44-8ed8-d4915bca27ef,Very Poor,Medium,,,,,,,
39,adsaas,,Jul 31 2024,Fuganbya,adsa,アユ,avtr_e757372a-39b2-498f-a962-e55738188527,https://vrchat.com/home/avatar/avtr_e757372a-39b2-498f-a962-e55738188527,Poor,,,,,,,,
40,ブリマン,,Jun 20 2023,Fuganbya,bubi （fish model by nemutai uni）,ブリ,avtr_e9ce72b3-9ca6-4076-8c00-a8c2b8d592ba,https://vrchat.com/home/avatar/avtr_e9ce72b3-9ca6-4076-8c00-a8c2b8d592ba,Medium,Very Poor,,,,,,,
41,ﾏｿﾝｿﾎﾞﾝﾏ,,Nov 10 2024,Fuganbya,,マンボウ,avtr_d8184271-dd3d-4a79-a86f-6e8defba479a,https://vrchat.com/home/avatar/avtr_d8184271-dd3d-4a79-a86f-6e8defba479a,Excellent,Excellent,,,,,,,
42,ｱﾝ干ﾞーﾏﾟﾉ,,Oct 01 2023,Fuganbya,save me,マンボウ,avtr_00f9cd72-adc4-435b-91de-f880d0785207,https://vrchat.com/home/avatar/avtr_00f9cd72-adc4-435b-91de-f880d0785207,Good,Very Poor,,,,,,,
43,イトヒキイワシ,,11/03/2025,huyumusi,イトヒキイワシ,test,avtr_a7446926-2067-4bfa-ae7f-028daa443e56,https://vrchat.com/home/avatar/avtr_a7446926-2067-4bfa-ae7f-028daa443e56,Medium,,,,,,,,
44,ホヤヘッド,,05/05/2025,huyumusi,ホヤ,ホヤヘッドです。,avtr_0fb6ae40-cf48-4c75-abaa-fbdb1a0b329e,https://vrchat.com/home/avatar/avtr_0fb6ae40-cf48-4c75-abaa-fbdb1a0b329e,Medium,Medium,,,,,,,
45,ホヤヘッド,,05/05/2025,huyumusi,ホヤ,ホヤ,avtr_0fb6ae40-cf48-4c75-abaa-fbdb1a0b329e,https://vrchat.com/home/avatar/avtr_0fb6ae40-cf48-4c75-abaa-fbdb1a0b329e,Excellent,Medium,,,,,,,
46,Narwhal man,,03/11/2025,huyumusi,イッカク,人の顔を見て話せません。シャイなので。,avtr_5ad07460-f89c-4bf0-9212-6cdfcaeadc47,https://vrchat.com/home/avatar/avtr_5ad07460-f89c-4bf0-9212-6cdfcaeadc47,Good,Very Poor,,,,,,,
47,ヘラジカヘッド,,04/12/2025,huyumusi,ヘラジカ,,avtr_dc7e2723-1cf7-4065-8886-71ae51578b3d,https://vrchat.com/home/avatar/avtr_dc7e2723-1cf7-4065-8886-71ae51578b3d,Good,Very Poor,,,,,,,
48,Nanimon,,Dec 06 2024,huyumusi,誰も知らないフィッシュヘッド,シャチ,avtr_a62ee35c-f5e1-456b-bbc9-9a6ac27022c4,https://vrchat.com/home/avatar/avtr_a62ee35c-f5e1-456b-bbc9-9a6ac27022c4,Very Poor,Very Poor,,,,,,,
49,バシロサウルスヘッド,,Jan 23 2025,huyumusi,,バシロサウルス,avtr_7d0e4557-8949-4a40-82e4-e7fa61a3dbae,https://vrchat.com/home/avatar/avtr_7d0e4557-8949-4a40-82e4-e7fa61a3dbae,Good,Very Poor,,,,,,,
50,bakemon,,Jul 03 2024,huyumusi,,クジラ,avtr_a54291b0-01d9-4304-97ad-8ebd7abfb14d,https://vrchat.com/home/avatar/avtr_a54291b0-01d9-4304-97ad-8ebd7abfb14d,Very Poor,Very Poor,,,,,,,
51,Orca Head,,Oct 01 2024,huyumusi,,シャチ,avtr_abd27db7-25c7-4be0-b057-8c873706a0f3,https://vrchat.com/home/avatar/avtr_abd27db7-25c7-4be0-b057-8c873706a0f3,Good,Medium,,,,,,,
52,WhaleMan,,Sep 13 2024,huyumusi,Loading․․․,クジラ,avtr_d34fed25-859f-41e6-8548-a29ad045e0d0,https://vrchat.com/home/avatar/avtr_d34fed25-859f-41e6-8548-a29ad045e0d0,Medium,,,,,,,,
53,newホヤ,,,huyumusi？,,,,,,,,,,,,,
54,琉金マン,,Jul 29 2023,kabocha_,,琉金（金魚）,avtr_64dd74d6-4da9-47f1-af06-d5b8629e1cfe,https://vrchat.com/home/avatar/avtr_64dd74d6-4da9-47f1-af06-d5b8629e1cfe,Poor,,,,,,,,
55,ギンザメマン,,Jun 30 2023,kabocha_,,Smallspine spookfish,avtr_7b37e6e0-e077-4c95-9af0-1bfee34b10e5,https://vrchat.com/home/avatar/avtr_7b37e6e0-e077-4c95-9af0-1bfee34b10e5,Poor,Poor,,,,,,,
56,Statue Of FishHead 2,,12/07/2024,Kaiiiiiiiii,,像,avtr_008d7c50-1e72-4c58-8d46-96b8efe0ed4a,https://vrchat.com/home/avatar/avtr_008d7c50-1e72-4c58-8d46-96b8efe0ed4a,Very Poor,,,,,,,,
57,RadioFishHead,,11/05/2025,Kaiiiiiiiii,ラジオ　歌　ビョトー,活鯵電池式FHポータブルラジオ（新品未使用）（体附属） 状態：非常に良い 鯵寿命1年あたり120時間稼働,avtr_5717bda8-7c6d-4461-94f9-421b6faab930,https://vrchat.com/home/avatar/avtr_5717bda8-7c6d-4461-94f9-421b6faab930,Good,,,,,,,,
58,ホンソメワケベラマン,,06/06/2025,Kaiiiiiiiii,魚頭クリーニング技能検定1級所持,ホンソメワケベラ,avtr_e9f492bb-f6d4-455c-bc24-4c0e01cecf5b,https://vrchat.com/home/avatar/avtr_e9f492bb-f6d4-455c-bc24-4c0e01cecf5b,Excellent,Good,,,,,,,
59,FketPavilion,,	06/30/2025,Kaiiiiiiiii,,像,avtr_a5a72f4f-f796-4cad-8b2c-47b3749d7c54,https://vrchat.com/home/avatar/avtr_a5a72f4f-f796-4cad-8b2c-47b3749d7c54,Very Poor,,,,,,,,
60,クロマグロマン,,	07/16/2025,Kaiiiiiiiii,動いてないと死ぬ。,クロマグロ,avtr_677e7b9d-f4e7-495a-8cac-cb63e1d0b8b9,https://vrchat.com/home/avatar/avtr_677e7b9d-f4e7-495a-8cac-cb63e1d0b8b9,Good,Poor,,,,,,,
61,小判男,,	07/17/2025,Kaiiiiiiiii,コバンザメ,共生しようよ。,avtr_6e73edcc-0108-421f-a167-388022fa7747,https://vrchat.com/home/avatar/avtr_6e73edcc-0108-421f-a167-388022fa7747,Good,Medium,,,,,,,
62,クラウンローチちゃん,,Apr 21 2024,Kaiiiiiiiii,かわいい,クラウンローチちゃん,avtr_5d33257c-f82a-4359-8a44-f3c01a5295ad,https://vrchat.com/home/avatar/avtr_5d33257c-f82a-4359-8a44-f3c01a5295ad,Medium,Poor,,,,,,,
63,sirowani,,Apr 28 2024,Kaiiiiiiiii,,シロワニ,avtr_8a30a2c9-669a-48a9-abdb-8a2df6781892,https://vrchat.com/home/avatar/avtr_8a30a2c9-669a-48a9-abdb-8a2df6781892,Medium,,,,,,,,
64,Shark Man,,Apr 29 2024,Kaiiiiiiiii,,サメ,avtr_19c4a92a-3b80-4865-a76d-8b37fe540ff8,https://vrchat.com/home/avatar/avtr_19c4a92a-3b80-4865-a76d-8b37fe540ff8,Good,Very Poor,,,,,,,
65,シーラカンスヘッド,,Aug 12 2023,Kaiiiiiiiii,シーラカンスって「中空の脊柱」って意味なんだって。背骨が無いらしい。,シーラカンス,avtr_a2bc5723-bb0a-42aa-a9b3-0ce13fe05fbf,https://vrchat.com/home/avatar/avtr_a2bc5723-bb0a-42aa-a9b3-0ce13fe05fbf,Medium,Very Poor,,,,,,,
66,真鯛君,,Aug 12 2023,Kaiiiiiiiii,めでてぇてぇ。,マダイ、タイノエ,avtr_8ec4dac5-0b2a-43d3-9378-20b5bff4888f,https://vrchat.com/home/avatar/avtr_8ec4dac5-0b2a-43d3-9378-20b5bff4888f,Medium,Very Poor,,,,,,,
67,蝦蛄ヘッド,,Dec 03 2023,Kaiiiiiiiii,,シャコ,avtr_5d93b833-8025-41a5-ae90-acc8d0701076,https://vrchat.com/home/avatar/avtr_5d93b833-8025-41a5-ae90-acc8d0701076,Poor,,,,,,,,
68,Statue Of FishHead 1,,Dec 07 2024,Kaiiiiiiiii,,ハナミノカサゴ,avtr_2e13ac2e-6b0d-43e5-9a08-cf566fa73941,https://vrchat.com/home/avatar/avtr_2e13ac2e-6b0d-43e5-9a08-cf566fa73941,Very Poor,,,,,,,,
69,エンドリケリーマン,,Dec 10 2023,Kaiiiiiiiii,株式会社ポリプテルス 代表取締役 遠藤ケリー （14）,エンドリケリー,avtr_76bc8c33-372b-4c48-be8b-e746d8a8c0fd,https://vrchat.com/home/avatar/avtr_76bc8c33-372b-4c48-be8b-e746d8a8c0fd,Good,Poor,,,,,,,
