,名前,挿入→画像→画像をセル内に挿入,Created day,作者（敬称略）,コメント,モデル,ID,リンク,パフォーマンス（PC,Android,IOS,,,,,,
90,ハナミノカサゴマン（全年齢版）,,Nov 27 2023,Kaiiiiiiiii,パンツ履いてるのでどこでも行けます。,ハナミノカサゴ,avtr_196bc047-0e2d-42e4-89e5-b337fda23ddd,https://vrchat.com/home/avatar/avtr_196bc047-0e2d-42e4-89e5-b337fda23ddd,Good,Poor,,,,,,,
91,MiniZinbei,,Oct 03 2023,Kaiiiiiiiii,3832,ジンベエザメ,avtr_378fc021-1db5-4240-b061-9b5dda0d99b1,https://vrchat.com/home/avatar/avtr_378fc021-1db5-4240-b061-9b5dda0d99b1,Good,Very Poor,,,,,,,
92,CoelacanthMan2,,Oct 07 2023,Kaiiiiiiiii,いぬねこアーマー付き,シーラカンス,avtr_6c46dfbf-dc4f-4725-8053-05ef1cdb7ba4,https://vrchat.com/home/avatar/avtr_6c46dfbf-dc4f-4725-8053-05ef1cdb7ba4,Medium,Very Poor,,,,,,,
93,ムツゴロウさん,,Oct 31 2023,Kaiiiiiiiii,,ムツゴロウ,avtr_53237b0c-4477-492f-b6a8-bc31cbaf6920,https://vrchat.com/home/avatar/avtr_53237b0c-4477-492f-b6a8-bc31cbaf6920,Good,,,,,,,,
94,元気のない真鯛君,,Sep 19 2023,Kaiiiiiiiii,taikun?,マダイ,avtr_9504f75f-ff53-4b82-82b6-116678ac4e23,https://vrchat.com/home/avatar/avtr_9504f75f-ff53-4b82-82b6-116678ac4e23,Medium,,,,,,,,
95,SALMAN,,Sep 23 2023,Kaiiiiiiiii,Salom Man,サケ,avtr_ef7230ba-63d7-409b-9799-4151f714e2df,https://vrchat.com/home/avatar/avtr_ef7230ba-63d7-409b-9799-4151f714e2df,Good,Poor,,,,,,,
96,piranha man,,Sep 27 2023,Kaiiiiiiiii,,ピラニア,avtr_52178936-00e9-4fba-982a-b818b92e0447,https://vrchat.com/home/avatar/avtr_52178936-00e9-4fba-982a-b818b92e0447,Very Poor,Poor,,,,,,,
97,サカバンバスピス,,Jul 02 2023,kodoresu（コードレス）,,サカバンバスピス,avtr_04542e63-17f2-4b89-b39a-70cf447c90ab,https://vrchat.com/home/avatar/avtr_04542e63-17f2-4b89-b39a-70cf447c90ab,Medium,,,,,,,,
98,亜魚露とル,,02/11/2025,kuguro,Akyo　ウーパールーパー,,avtr_039bb82d-bb7b-43c2-9d66-328d36d994de,https://vrchat.com/home/avatar/avtr_039bb82d-bb7b-43c2-9d66-328d36d994de,Medium,,,,,,,,
99,donburikujira,,Apr 18 2024,kuguro,,クジラ,avtr_4cde5121-492e-47c5-a7ff-16463f912c60,https://vrchat.com/home/avatar/avtr_4cde5121-492e-47c5-a7ff-16463f912c60,Good,Poor,,,,,,,
100,亜魚,,Dec 31 2024,kuguro,,Akyo,avtr_a6092306-d1aa-44fb-b54d-593cbea7133b,https://vrchat.com/home/avatar/avtr_a6092306-d1aa-44fb-b54d-593cbea7133b,Excellent,Good,,,,,,,
101,らくがきさかな,,Jan 09 2025,kuguro,,落書き,avtr_dd6af84d-d3eb-49b0-ad84-86e9980d7a1c,https://vrchat.com/home/avatar/avtr_dd6af84d-d3eb-49b0-ad84-86e9980d7a1c,Medium,,,,,,,,
102,menkoi,,Jul 13 2024,kuguro,,人,avtr_b593240f-2ff0-4e2b-be15-339ba87643b7,https://vrchat.com/home/avatar/avtr_b593240f-2ff0-4e2b-be15-339ba87643b7,Poor,Very Poor,,,,,,,
103,jellyfish,,Jun 30 2023,kuguro,,クラゲ,avtr_638aa16b-34dc-4957-b3ae-ccbfe184d17f,https://vrchat.com/home/avatar/avtr_638aa16b-34dc-4957-b3ae-ccbfe184d17f,Medium,Very Poor,,,,,,,
104,魚ライダー,,	06/14/2025,kuro5963,試作１,魚雷,avtr_c774414e-4d87-4433-a65f-7f1b8e7be9cd,https://vrchat.com/home/avatar/avtr_c774414e-4d87-4433-a65f-7f1b8e7be9cd,Medium,Very Poor,,,,,,,
105,ふぐ店員,,11/16/2025,kuro5963,フグ,,avtr_22569884-0a16-4006-8966-59d4a4ec6844,https://vrchat.com/home/avatar/avtr_22569884-0a16-4006-8966-59d4a4ec6844,Good,Medium,Medium,,,,,,
106,Fisherman,,03/01/2025,long-potato,さかな,動画を見てくれてありがとう！,avtr_2f3f2791-afdc-46dc-ad15-bdfec12d6b97,https://vrchat.com/home/avatar/avtr_2f3f2791-afdc-46dc-ad15-bdfec12d6b97,Excellent,Excellent,,,,,,,
107,マングローブ分隊,,12/02/2025,long-potato,テッポウウオ,あなたが分隊長です,avtr_04ece333-5fca-483b-bb57-9b0d06f1d04e,https://vrchat.com/home/avatar/avtr_04ece333-5fca-483b-bb57-9b0d06f1d04e,Medium,Very Poor,,,,,,,
108,軽トラマン,,06/04/2025,long-potato,軽トラ,日本一雑に扱われている物ランキング堂々1位の軽トラがヒーローになってお前を助けに来た！丁寧に助けてもらえると思うな。泥だらけの足で家に上がり込んでくるぞ。,avtr_5273b2bd-96e1-4228-95b6-4b090e05573d,https://vrchat.com/home/avatar/avtr_5273b2bd-96e1-4228-95b6-4b090e05573d,Excellent,Poor,,,,,,,
109,はこふぐクン,,2025/9/8,long-potato,ハコフグ,ギョギョ！！,avtr_f4c8fbfa-b659-4e5f-b8a2-bc0338d0d93c,https://vrchat.com/home/avatar/avtr_f4c8fbfa-b659-4e5f-b8a2-bc0338d0d93c,Excellent,Excellent,,,,,,,
110,キャプテンアメリカ,,2025/9/8,long-potato,アメリカザリガニ,外来生物の厄介なところを極限まで高めた存在。家に連れて帰ることができるが、逃がすと法律で罰せられる。,avtr_41bc96bc-4d9d-4b0d-9a55-5c32054f8eae,https://vrchat.com/home/avatar/avtr_41bc96bc-4d9d-4b0d-9a55-5c32054f8eae,Excellent,Good,,,,,,,
111,ポルカマン,,2025/9/8,long-potato,ポルカドットスティングレイ,雨の日に傘として使用できます。,avtr_c2fc46c2-c358-4644-9aeb-539522404bcf,https://vrchat.com/home/avatar/avtr_c2fc46c2-c358-4644-9aeb-539522404bcf,Good,Medium,,,,,,,
112,イソギンチャクモエビマン,,2025/9/8,long-potato,イソギンチャクモエビ,故障中,avtr_cae1068d-8c37-4b9b-9add-716232978ea8,https://vrchat.com/home/avatar/avtr_cae1068d-8c37-4b9b-9add-716232978ea8,Good,Medium,,,,,,,
113,石灯篭マン,,2025/9/8,long-potato,石灯篭,,avtr_b9f283b2-2b62-4caf-8249-68380428f816,https://vrchat.com/home/avatar/avtr_b9f283b2-2b62-4caf-8249-68380428f816,Very Poor,,,,,,,,
114,ピラルクマン（すし）,,2025/9/8,long-potato,ピラルク,故障中,avtr_60f51c7a-3582-4868-a7d6-0b004d083f6e,https://vrchat.com/home/avatar/avtr_60f51c7a-3582-4868-a7d6-0b004d083f6e,Good,Good,,,,,,,
115,ﾝ,,	01/31/2026,long-potato,マンボウ,,avtr_e1c08f9f-4afb-4599-bfdd-410624022cc6,https://vrchat.com/home/avatar/avtr_e1c08f9f-4afb-4599-bfdd-410624022cc6,Excellent,Good,,,,,,,
116,MONSTER FISH,,	09/27/2025,long-potato,ワヌ　ガー,鳥獣を撃退するモンスターフィッシュ ー野生動物撃退装置,avtr_0e06e942-ed67-4d03-ada7-e29b32440782,https://vrchat.com/home/avatar/avtr_0e06e942-ed67-4d03-ada7-e29b32440782,Medium,Poor,,,,,,,
117,集合写真１,,11/23/2025,long-potato,たくさん　さかな,１＋１は～？ フィ～ッシュ,avtr_77183eba-d806-4d62-8beb-a4ecd165dbe7,https://vrchat.com/home/avatar/avtr_77183eba-d806-4d62-8beb-a4ecd165dbe7,Excellent,Poor,,,,,,,
118,疑似餌ヘッド,,Dec 10 2023,long-potato,,疑似餌,avtr_d56b0b47-5c7d-4c96-ae72-54f59795eb80,https://vrchat.com/home/avatar/avtr_d56b0b47-5c7d-4c96-ae72-54f59795eb80,Good,Good,,,,,,,
119,カージナルテトラちゃん,,Feb 02 2025,long-potato,ネオンテトラじゃないわよ,カージナルテトラ,avtr_8f607d9d-9b4a-4e9d-b988-324328daee50,https://vrchat.com/home/avatar/avtr_8f607d9d-9b4a-4e9d-b988-324328daee50,Excellent,Good,,,,,,,
120,車エビウーマン,,Feb 28 2024,long-potato,,クルマエビ,avtr_522c4e8b-d96d-4385-b57e-c5fd7304c16a,https://vrchat.com/home/avatar/avtr_522c4e8b-d96d-4385-b57e-c5fd7304c16a,Good,Poor,,,,,,,
121,neolady,,Jan 03 2025,long-potato,肺がある,ネオケラ,avtr_923a9a6b-5b48-4946-9b3d-a91101c19af2,https://vrchat.com/home/avatar/avtr_923a9a6b-5b48-4946-9b3d-a91101c19af2,Excellent,Good,,,,,,,
122,マンボボ,,Jan 09 2025,long-potato,花言葉は「おもいで」。 色や形によって花言葉が少し異なる場合もありますが、基本的に愛や思いを伝える花として広く親しまれています。,マンボウ,avtr_bb69169e-cbb2-4d8c-9adc-e29c2aa396a8,https://vrchat.com/home/avatar/avtr_bb69169e-cbb2-4d8c-9adc-e29c2aa396a8,Medium,,,,,,,,
123,マンボボの花,,Jan 09 2025,long-potato,花言葉は「おもいで」。 色や形によって花言葉が少し異なる場合もありますが、基本的に愛や思いを伝える花として広く親しまれています。,マンボウ,avtr_e7502cde-200f-474c-907d-5bf73c53879e,https://vrchat.com/home/avatar/avtr_e7502cde-200f-474c-907d-5bf73c53879e,Medium,Poor,,,,,,,
124,マンボボボボボボオボｂ,,Jan 26 2025,long-potato,ボボ,テッポウウオ,avtr_d6959b5c-5b26-41b8-bb74-5ebdc4726985,https://vrchat.com/home/avatar/avtr_d6959b5c-5b26-41b8-bb74-5ebdc4726985,Medium,Very Poor,,,,,,,
125,マソボーマソ（令和最新版）,,Jul 23 2023,long-potato,於通訊に使用する高品質のさりげなく魚頭化身、高評価のスクリーンショットを送付することもう1つ製品送付に繋げます。,マンボウ,avtr_74609832-0c2c-4939-99ea-6fed18d5578b,https://vrchat.com/home/avatar/avtr_74609832-0c2c-4939-99ea-6fed18d5578b,Good,Medium,,,,,,,
126,chin-anago man,,Jun 28 2023,long-potato,,チンアナゴ,avtr_0f206557-74a5-4cee-920b-b756dd4998b5,https://vrchat.com/home/avatar/avtr_0f206557-74a5-4cee-920b-b756dd4998b5,Good,Medium,,,,,,,
127,うなぎウーマン,,May 05 2024,long-potato,みんな偉い魚頭持ってていいなァǃǃ じゃあ魚頭バトルしようぜǃ 魚頭バトルǃǃ,ウナギ,avtr_6f1bcd9b-db5a-4320-b6ed-c2ea2a471f9c,https://vrchat.com/home/avatar/avtr_6f1bcd9b-db5a-4320-b6ed-c2ea2a471f9c,Excellent,Good,,,,,,,
128,namazuuman,,May 29 2023,long-potato,,ナマズ,avtr_95a95b4d-1fa1-4702-b26a-b7402542761e,https://vrchat.com/home/avatar/avtr_95a95b4d-1fa1-4702-b26a-b7402542761e,Good,Poor,,,,,,,
129,angel,,May 31 2024,long-potato,?????????????????,エンジェルフィッシュ,avtr_8d26e309-7c86-4912-b8c2-d77556613085,https://vrchat.com/home/avatar/avtr_8d26e309-7c86-4912-b8c2-d77556613085,Excellent,Medium,,,,,,,
130,リュウグウノツカイヘッド,,Nov 25 2023,long-potato,,リュウグウノツカイ,avtr_4aa22b96-3669-4324-9adb-5ddeeadc29a3,https://vrchat.com/home/avatar/avtr_4aa22b96-3669-4324-9adb-5ddeeadc29a3,Good,Poor,,,,,,,
131,PangasiusMan,,Oct 19 2023,long-potato,,メコンオオナマズ,avtr_94ba4b10-ecee-4738-981c-19b4f0c80a51,https://vrchat.com/home/avatar/avtr_94ba4b10-ecee-4738-981c-19b4f0c80a51,Excellent,Excellent,,,,,,,
132,ManbowAkyo,,Oct 31 2023,long-potato,ﾌｨｯｼｭﾍｯﾄﾞ,マンボウ,avtr_1063161d-4535-4896-b797-0f5ba63042b8,https://vrchat.com/home/avatar/avtr_1063161d-4535-4896-b797-0f5ba63042b8,Excellent,Excellent,,,,,,,
133,繁殖,,Sep 16 2024,long-potato,その数、なんと3億。,マンボウ,avtr_af044432-549a-484a-bd93-ae114b24ee42,https://vrchat.com/home/avatar/avtr_af044432-549a-484a-bd93-ae114b24ee42,Very Poor,Very Poor,Sep 18 2024,甘水あみ,,,,,
134,skyfishhead,,Sep 27 2023,long-potato,,スカイフィッシュ,avtr_e1c6e50f-bf6e-4831-83a2-47275d4fdedf,https://vrchat.com/home/avatar/avtr_e1c6e50f-bf6e-4831-83a2-47275d4fdedf,Good,Poor,,,,,,,
135,NEOKERA_wasou_mame,,Feb 04 2024,march-maru,NEOKERA_wasou,ネオケラ,avtr_90835c0c-ee66-45fd-937b-2af04cc56857,https://vrchat.com/home/avatar/avtr_90835c0c-ee66-45fd-937b-2af04cc56857,Very Poor,,,,,,,,
136,Fusaankou_man,,Feb 29 2024,march-maru,,フサアンコウ,avtr_5db65fa1-9dd4-4719-ac60-23591cecf12b,https://vrchat.com/home/avatar/avtr_5db65fa1-9dd4-4719-ac60-23591cecf12b,Poor,,,,,,,,
137,NEOKERA_Public_yotei,,Nov 07 2023,march-maru,chousei-chu,ネオケラ,avtr_3ffe721a-c67a-44b8-86f4-3fe620515689,https://vrchat.com/home/avatar/avtr_3ffe721a-c67a-44b8-86f4-3fe620515689,Good,,,,,,,,
138,irokaeruankou_Normal,,Sep 30 2023,march-maru,irokaeruankou,イロカエルアンコウ,avtr_e93a8234-9a07-449a-a0d5-86a73fb43bbd,https://vrchat.com/home/avatar/avtr_e93a8234-9a07-449a-a0d5-86a73fb43bbd,Medium,Very Poor,,,,,,,
139,ishigaki_kaeru_uo_man,,May 05 2024,march-maruマーチマル,This is the public version of the Unclassics Fish Head Avatar․ Feel free to enjoyǃ,イシガキカエルウオ,avtr_9aea84e8-7937-4433-bcff-b985653e22f8,https://vrchat.com/home/avatar/avtr_9aea84e8-7937-4433-bcff-b985653e22f8,Medium,,,,,,,,
140,極美個体　アンフィビウスマン,,Nov 08 2024,march-maruマーチマル,肺魚の一種です。実物もカワイイよ！,アンフィビウス,avtr_7c4974ea-c5d3-4f46-96d9-1cb4a6dbd8d5,https://vrchat.com/home/avatar/avtr_7c4974ea-c5d3-4f46-96d9-1cb4a6dbd8d5,Good,,,,,,,,
141,アオヒトデくん,,06/30/2025,miniboku,,アオヒトデ,avtr_66975bb2-7619-48d9-81a2-ad17f1e7798f,https://vrchat.com/home/avatar/avtr_66975bb2-7619-48d9-81a2-ad17f1e7798f,Medium,Very Poor,,,,,,,
142,カワテブクロマン,,Jul 01 2023,miyako_jp,,カワテブクロ,avtr_87791844-a026-40da-9af6-97af9cca771a,https://vrchat.com/home/avatar/avtr_87791844-a026-40da-9af6-97af9cca771a,Medium,Very Poor,,,,,,,
143,ZUWAI MAN,,02/02/2025,nanaminami,MINAMIKANI_MAN,ズワイガニ,avtr_51a63cc8-d91d-4497-b924-583d419886bb,https://vrchat.com/home/avatar/avtr_51a63cc8-d91d-4497-b924-583d419886bb,Medium,Poor,,,,,,,
144,マカジキ,,Aug 17 2023,nanaminami,kk,マカジキ,avtr_9b509377-8b96-4719-987b-c5c03e5c1957,https://vrchat.com/home/avatar/avtr_9b509377-8b96-4719-987b-c5c03e5c1957,Good,Poor,,,,,,,
145,クロカジキ（FH、デスクトップ仕様）,,Nov 18 2024,nanaminami,体無しはショップにて配布しております,クロカジキ,avtr_7e9e3a9b-1419-461d-ad99-e01a39c4e319,https://vrchat.com/home/avatar/avtr_7e9e3a9b-1419-461d-ad99-e01a39c4e319,Good,Poor,,,,,,,
146,森のニジマスマンWith苔Akyo,,05/04/2025,nekononomicon,ニジマス,ボディ隠して魚頭隠さず,avtr_8324c16d-05c0-4793-9f77-f1edf0340eb0,https://vrchat.com/home/avatar/avtr_8324c16d-05c0-4793-9f77-f1edf0340eb0,Medium,Very Poor,Very Poor,,,,,,
147,マンボーれい,,08/16/2025,nekononomicon,マンボウ,言うほど恨んでない,avtr_2df108d4-328e-4e44-b68a-6b4830ef21bb,https://vrchat.com/home/avatar/avtr_2df108d4-328e-4e44-b68a-6b4830ef21bb,Medium,Very Poor,,,,,,,
148,サッカーのマンボーマン,,Apr 28 2024,nekononomicon,魚頭はともだち,マンボウ,avtr_929833e7-9d48-40c8-8d1b-19da915846f6,https://vrchat.com/home/avatar/avtr_929833e7-9d48-40c8-8d1b-19da915846f6,Medium,Poor,Poor,,,,,,
149,一頭身のマンボーマン,,Apr 28 2024,nekononomicon,魚のマーボィ,マンボウ,avtr_9ce4207f-90f7-484b-a46c-be2738675e4f,https://vrchat.com/home/avatar/avtr_9ce4207f-90f7-484b-a46c-be2738675e4f,Good,Medium,,,,,,,
150,ニジXマスマン,,Dec 26 2023,nekononomicon,ニジマスマンは、ご覧のモデルをベースにお送りしています。 ∗∗∗ ＂Low poly rainbow trout （Oncorhynchus mykiss）＂ （https˸⁄⁄skfb․ly⁄otsOv） by Natural History Museum of Los Angeles County is licensed under CC Attribution-NonCommercial-ShareAlike （http˸⁄⁄creativecommons․org⁄licenses⁄by-nc-sa⁄4․0⁄）․ ∗∗∗ 【無料】【3Dモデル】マンボーマン【VRChat対応】 ｜ カヤのおみせ https˸⁄⁄kaya-upaco․booth․pm⁄items⁄4286364 ＃booth_pm,ニジマス,avtr_42e4adad-6e90-4322-97eb-3674672dc72b,https://vrchat.com/home/avatar/avtr_42e4adad-6e90-4322-97eb-3674672dc72b,Medium,Very Poor,Very Poor,,,,,,
151,すし水勤務のAkyo,,Dec 31 2024,nekononomicon,「Sushi Aquarium」で働いていそうなAkyoだ！アジ関係の機能はメニューのMoreにあるよ。アジバケツとマダコ壺はkai9さんが無料で配布してるやつだ！https˸⁄⁄booth․pm⁄ja⁄items⁄6429080,アジ,avtr_b38aeb2a-bb50-470a-82b6-ab977a023530,https://vrchat.com/home/avatar/avtr_b38aeb2a-bb50-470a-82b6-ab977a023530,Poor,Very Poor,Very Poor,,,,,,
152,節分風味のニジマスマン,,Feb 04 2024,nekononomicon,左手のロックンロールorメニューor手の接触で魚頭ビーンズがでるぞ！ ニジマスマンは、ご覧のモデルをベースにお送りしています。 ∗∗∗ ＂Low poly rainbow trout （Oncorhynchus mykiss）＂ （https˸⁄⁄skfb․ly⁄otsOv） by Natural History Museum of Los Angeles County is licensed under CC Attribution-NonCommercial-ShareAlike （http˸⁄⁄creativecommons․org⁄licenses⁄by-nc-sa⁄4․0⁄）․ ∗∗∗ 【無料】【3Dモデル】マンボーマン【VRChat対応】 ｜ カヤのおみせ https˸⁄⁄kaya-upaco․booth․pm⁄items⁄4286364 ＃booth_pm,ニジマス,avtr_0e1ff83d-2c3b-4287-9081-0f2fe118ed92,https://vrchat.com/home/avatar/avtr_0e1ff83d-2c3b-4287-9081-0f2fe118ed92,Medium,Very Poor,Very Poor,,,,,,
153,256マスマン,,Feb 24 2024,nekononomicon,体は256、機能はニジマス その名は256マスマン！,ニジマス,avtr_6b22d703-fd73-4f06-ac75-88f64fb6b38d,https://vrchat.com/home/avatar/avtr_6b22d703-fd73-4f06-ac75-88f64fb6b38d,Good,Poor,Poor,,,,,,
154,fket2024Teramoブース,,Jul 19 2024,nekononomicon,,Ｆｋｅｔ,avtr_77c87433-0df4-4cb0-8a8c-6fb90981ad1f,https://vrchat.com/home/avatar/avtr_77c87433-0df4-4cb0-8a8c-6fb90981ad1f,Very Poor,Very Poor,,,,,,,
155,ニジマスマン,,Jun 10 2023,nekononomicon,ニジマスマンは、ご覧のモデルをベースにお送りしています。 ∗∗∗ ＂Low poly rainbow trout （Oncorhynchus mykiss）＂ （https˸⁄⁄skfb․ly⁄otsOv） by Natural History Museum of Los Angeles County is licensed under CC Attribution-NonCommercial-ShareAlike （http˸⁄⁄creativecommons․org⁄licenses⁄by-nc-sa⁄4․0⁄）․ ∗∗∗ 【無料】【3Dモデル】マンボーマン【VRChat対応】 ｜ カヤのおみせ https˸⁄⁄kaya-upaco․booth․pm⁄items⁄4286364 ＃booth_pm,ニジマス,avtr_99d38412-0b09-441c-b65f-da7a4c8d92e8,https://vrchat.com/home/avatar/avtr_99d38412-0b09-441c-b65f-da7a4c8d92e8,Good,Poor,Poor,,,,,,
156,マンボんぼり,,Mar 02 2025,nekononomicon,マンボウ,ひな祭りに迎合したマンボール 別名マンボーり,avtr_92b91ae7-e3c8-4037-b131-bd1bc5e64eea,https://vrchat.com/home/avatar/avtr_92b91ae7-e3c8-4037-b131-bd1bc5e64eea,Poor,Poor,Poor,,,,,,
157,ニジオーディオリンクマスマン,,Mar 23 2024,nekononomicon,PCでしかリンクしないぞ気を付けろ！ ∗∗∗ ＂Low poly rainbow trout （Oncorhynchus mykiss）＂ （https˸⁄⁄skfb․ly⁄otsOv） by Natural History Museum of Los Angeles County is licensed under CC Attribution-NonCommercial-ShareAlike （http˸⁄⁄creativecommons․org⁄licenses⁄by-nc-sa⁄4․0⁄）․ ∗∗∗ 【無料】【3Dモデル】マンボーマン【VRChat対応】 ｜ カヤのおみせ https˸⁄⁄kaya-upaco․booth․pm⁄items⁄4286364 ＃booth_pm,ニジマス,avtr_4e2ed12d-2504-4998-b549-38b58e02acea,https://vrchat.com/home/avatar/avtr_4e2ed12d-2504-4998-b549-38b58e02acea,Good,Very Poor,Very Poor,,,,,,
158,2周年記念のマンボーマン,,Nov 04 2024,nekononomicon,魚頭を集めて＂マンボーマン＂にするマンボーマン。椅子を出さないこともできるので小道具としてマンボーを散りばめたい時にも使えるかもしれない。,マンボウ,avtr_ad489c2b-d1ff-41bd-a3af-c33ce9b5a296,https://vrchat.com/home/avatar/avtr_ad489c2b-d1ff-41bd-a3af-c33ce9b5a296,Medium,Poor,,,,,,,
159,ニジマスマン（ハロウィンのすがた）,,Oct 29 2023,nekononomicon,,ニジマス,avtr_ba566d0c-57a3-4a15-aa3f-460e05254d37,https://vrchat.com/home/avatar/avtr_ba566d0c-57a3-4a15-aa3f-460e05254d37,Medium,Very Poor,Very Poor,,,,,,
160,サラリーマンボーマン,,Sep 15 2024,nekononomicon,社会の荒波に揉まれるマンボーマン,マンボウ,avtr_6a8967a2-c471-4b1d-a278-f527057ff186,https://vrchat.com/home/avatar/avtr_6a8967a2-c471-4b1d-a278-f527057ff186,Good,Very Poor,,,,,,,
161,フィッシュヘッドカレーマン,,Sep 17 2023,nekononomicon,フィッシュヘッドカレーは、インドと中国のエスニック料理を融合させたシンガポール料理です。真鯛の頭をオクラやナスなどの野菜と一緒にカレーで煮込みました。通常、ご飯やパンと一緒に、またはシェア料理として提供されます。この料理は1949 年にゴメス カリーというシンガポール料理レストランで初めて販売されました。【フリー百科事典ウィキペディアより】,フィッシュヘッドカレー,avtr_266ad89f-3098-4851-a6ac-4395ef69c531,https://vrchat.com/home/avatar/avtr_266ad89f-3098-4851-a6ac-4395ef69c531,Good,Poor,,,,,,,
162,KATUOもめ,,Sep 22 2024,nekononomicon,圧倒的揉み心地,カツオ,avtr_b240f1e1-b5c4-427f-810b-dfd06b855398,https://vrchat.com/home/avatar/avtr_b240f1e1-b5c4-427f-810b-dfd06b855398,Poor,Very Poor,Aug 26 2024,甘水あみ,,,,,
163,おたまらいだー,,04/02/2025,Numabot,オタマジャクシ、dog,inu,avtr_5af4782e-8b50-4d83-9a34-87f93f82866a,https://vrchat.com/home/avatar/avtr_5af4782e-8b50-4d83-9a34-87f93f82866a,Good,,,,,,,,
164,おたま こどもの日エディション,,05/05/2025,Numabot,オタマジャクシ,ご がつ ごにぢ ぃ,avtr_20c095ea-766e-4b78-b1d3-af5f73371364,https://vrchat.com/home/avatar/avtr_20c095ea-766e-4b78-b1d3-af5f73371364,Excellent,,,,,,,,
165,Akamantai_by_Numabot․003,,Apr 19 2024,Numabot,外見や生態はマンボウにも似ているが、分類上はまったく別の魚である,アカマンボウ,avtr_44923445-3c69-49be-a5d3-ebc88ee8959d,https://vrchat.com/home/avatar/avtr_44923445-3c69-49be-a5d3-ebc88ee8959d,Excellent,,Sep 18 2024,甘水あみ,,,,,
166,おたまじゃくし（魚）,,Jun 30 2024,Numabot,オタマジャクシ（魚）,オタマジャクシ,avtr_c7eddce7-d283-40b3-87ef-f04acd5a9f8c,https://vrchat.com/home/avatar/avtr_c7eddce7-d283-40b3-87ef-f04acd5a9f8c,Excellent,Good,,,,,,,
167,おたまえんぶり。,,Nov 21 2024,Numabot,青森初春の神事として青森県八戸市一円を中心とする青森県南部地方各地で広く行われる予祝芸能の一種である。,オタマジャクシ,avtr_9c7aa15f-960a-48ef-a35c-0a3a18517b5b,https://vrchat.com/home/avatar/avtr_9c7aa15f-960a-48ef-a35c-0a3a18517b5b,Good,,,,,,,,
168,仮透明なたいやき醤油味,,Jan 17 2024,nyan-no-mono,仮透明なたいやき醤油味,たい焼き,avtr_3dcd5d2f-2805-4493-a7db-86e3ef7e66b2,https://vrchat.com/home/avatar/avtr_3dcd5d2f-2805-4493-a7db-86e3ef7e66b2,Medium,,,,,,,,
169,ヘラブナマン,,20/10/2024,polf,ヘラブナ,,avtr_c620ae52-a491-49c0-b3bd-8bf582a21759,https://vrchat.com/home/avatar/avtr_c620ae52-a491-49c0-b3bd-8bf582a21759,Good,Very Poor,,,,,,,
170,アカヤガラマン,,05/03/2025,polf,アカヤガラ,,avtr_c895e425-0b55-4b36-b434-b5126b590fb7,https://vrchat.com/home/avatar/avtr_c895e425-0b55-4b36-b434-b5126b590fb7,Medium,Very Poor,,,,,,,
171,ゴマモンガラマン,,17/05/2026,polf,,ゴマモンガラ,avatar/avtr_93c5d3e6-89b0-4451-a4a5-bf4f56efb669,https://vrchat.com/home/avatar/avtr_93c5d3e6-89b0-4451-a4a5-bf4f56efb669,Good,Medium,Medium,,,,,,
172,魚頭戦士マンボウ,,	06/29/2025,polf,モラあがれ モラあがれ モラあがれ マンボウ 魚頭 被れ まだ怒りに燃える魚頭があるなら 魚頭の敵をﾌｨｼｭﾍｯ ﾌｨｼｭﾍｯ ﾌｨｼｭﾍｯ 正義の魚頭をぶつけろマンボウ 魚頭戦士マンボウ マンボウ,マンボウ,avtr_c442480d-43d1-494e-b0b0-f74f63d9d233,https://vrchat.com/home/avatar/avtr_c442480d-43d1-494e-b0b0-f74f63d9d233,Very Poor,Very Poor,,,,,,,
173,オイランヨウジマン,,	10/30/2025,polf,オイランヨウジウオ,,avtr_e3a1847c-ea77-4eff-a5ca-820a5962f8f8,https://vrchat.com/home/avatar/avtr_e3a1847c-ea77-4eff-a5ca-820a5962f8f8,Good,Poor,,,,,,,
174,ベンテンウオマン,,Apr 28 2024,polf,,ベンテンウオ,avtr_70ad11d4-ca06-403e-bda8-d41f250c9065,https://vrchat.com/home/avatar/avtr_70ad11d4-ca06-403e-bda8-d41f250c9065,Good,Medium,,,,,,,
175,ホウボウマン,,Aug 13 2023,polf,,ホウボウ,avtr_61be41ac-d90a-46c3-a397-bd0a881d0c2c,https://vrchat.com/home/avatar/avtr_61be41ac-d90a-46c3-a397-bd0a881d0c2c,Good,Poor,,,,,,,
176,盆魚！サバサンドマン,,Aug 14 2023,polf,,サバサンド,avtr_6fead5ff-4b24-4745-83cd-7d45f1f0303a,https://vrchat.com/home/avatar/avtr_6fead5ff-4b24-4745-83cd-7d45f1f0303a,Good,Poor,,,,,,,
177,カガミダイマン,,Dec 05 2023,polf,,カガミダイ,avtr_3921ef8c-cd40-43a9-b45c-b3c7d4c04412,https://vrchat.com/home/avatar/avtr_3921ef8c-cd40-43a9-b45c-b3c7d4c04412,Good,Poor,,,,,,,
